X,Z,
-0.42,-0.42,
-0.42,-0.29,
-0.42,-0.17,
-0.42,-0.04,
-0.42,0.08,
-0.42,0.21,
-0.42,0.34,
-0.42,0.42,
-0.367,0.42,
-0.367,0.29,
-0.367,0.17,
-0.367,0.04,
-0.367,-0.08,
-0.367,-0.21,
-0.367,-0.34,
-0.367,-0.42,
-0.314,-0.42,
-0.314,-0.29,
-0.314,-0.17,
-0.314,-0.04,
-0.314,0.08,
-0.314,0.21,
-0.314,0.34,
-0.314,0.42,
-0.261,0.42,
-0.261,0.29,
-0.261,0.17,
-0.261,0.04,
-0.261,-0.08,
-0.261,-0.21,
-0.261,-0.34,
-0.261,-0.42,
-0.208,-0.42,
-0.208,-0.29,
-0.208,-0.17,
-0.208,-0.04,
-0.208,0.08,
-0.208,0.21,
-0.208,0.33584875,
-0.208,0.42,
